dataset,max_force
1,6.3132
2,6.3218
3,6.2975
4,6.4066
5,6.4063
6,6.2851
7,6.1846
8,6.216
9,6.0644
10,6.2345
11,6.31
12,6.3598
13,6.2315
14,6.526
15,6.3866
16,6.2726
17,6.2296
18,6.3674
19,6.2468
20,6.175
21,6.413
22,6.345
23,6.1848
24,6.004
25,5.9803
26,6.3661
27,6.263
28,6.339
29,6.158
30,6.3099
31,6.4089
32,6.4956
33,6.2035
34,6.3401
35,6.207
36,6.276
37,6.1569
38,6.2533
39,6.1963
40,6.2924
41,6.3735
