dataset,max_force
1,0.6471
2,0.8344
3,0.7192
4,0.7345
5,0.9224
6,0.7761
7,0.7991
8,0.8577
9,0.8365
10,0.7203
11,0.9326
12,0.9236
13,0.8436
15,0.9073
16,0.9487
18,0.5932
19,0.7551
20,0.9315
21,0.9683
22,0.9282
23,0.8089
24,0.4785
25,0.3856
26,1.0409
27,0.8618
28,0.8048
29,0.8503
30,0.7824
31,0.7936
32,0.7832
33,0.7968
34,0.9105
35,1.0504
36,0.7353
37,0.8795
38,0.7709
39,0.8318
40,0.896
41,0.7891
43,0.9382
44,0.6763
45,0.8903
46,0.8067
