dataset,max_force
1,8.7243
2,9.031
3,13.0325
4,18.7759
5,22.062
6,6.4151
7,19.2312
8,11.174
9,7.435
10,nan
11,20.5437
12,8.4823
13,16.3906
14,4.8133
15,19.0366
16,4.5083
17,21.8922
18,20.5582
19,19.7636
20,18.8616
21,8.0048
22,5.5896
23,19.4064
24,20.2768
25,4.4025
26,16.0778
27,18.5434
28,5.8336
29,21.8384
30,16.2256
31,20.2404
32,21.9193
33,17.3666
34,20.6312
35,20.6406
36,19.8991
37,4.4809
38,19.854
39,5.8411
40,3.6686
